Id,Id2,Geography,2010,2011,2012,2013,2014,2015
0400000US01,1,Alabama,2174266,2181371,2189738,2199413,2207849,2218287
0400000US02,2,Alaska,307059,307377,307664,308089,308578,309448
0400000US04,4,Arizona,2848293,2857849,2870144,2887506,2907820,2929030
0400000US05,5,Arkansas,1317756,1323130,1328315,1334978,1341017,1347528
0400000US06,6,California,13688185,13728585,13771494,13828412,13907648,13987625
0400000US08,8,Colorado,2214182,2223607,2234077,2256487,2284085,2309228
0400000US09,9,Connecticut,1488097,1489022,1489255,1491018,1493547,1495953
0400000US10,10,Delaware,406430,408503,410432,413524,417420,421747
0400000US11,11,District of Columbia,296829,296822,300618,303659,306154,309574
0400000US12,12,Florida,8993149,9010508,9032171,9076753,9143969,9209857
0400000US13,13,Georgia,4091143,4098840,4108131,4123486,4151066,4182110
0400000US15,15,Hawaii,519969,522636,524651,526929,530091,532455
0400000US16,16,Idaho,668589,671106,673544,678233,685311,692493
0400000US17,17,Illinois,5297005,5298510,5299459,5302371,5307146,5317383
0400000US18,18,Indiana,2797016,2803412,2809722,2817527,2829452,2841373
0400000US19,19,Iowa,1337552,1341734,1346293,1352908,1361907,1369359
0400000US20,20,Kansas,1234219,1236659,1239524,1243223,1248973,1253861
0400000US21,21,Kentucky,1928283,1932904,1937674,1944314,1950332,1957037
0400000US22,22,Louisiana,1967866,1977092,1987438,1998596,2010808,2024645
0400000US23,23,Maine,722231,723531,724444,725809,727616,729413
0400000US24,24,Maryland,2380536,2388108,2397317,2408379,2422119,2434307
0400000US25,25,Massachusetts,2809302,2813651,2817642,2825233,2836187,2845699
0400000US26,26,Michigan,4531927,4532022,4533574,4537831,4543189,4550296
0400000US27,27,Minnesota,2348249,2354971,2361903,2373016,2385464,2397720
0400000US28,28,Mississippi,1276305,1280086,1283880,1288768,1294685,1300892
0400000US29,29,Missouri,2713947,2717609,2721161,2727534,2735682,2746599
0400000US30,30,Montana,483332,484930,486222,487837,491507,494198
0400000US31,31,Nebraska,797619,801116,804633,809121,814914,820913
0400000US32,32,Nevada,1174929,1179040,1182929,1189789,1198862,1209756
0400000US33,33,New Hampshire,614990,616268,617379,618469,620072,622561
0400000US34,34,New Jersey,3556411,3562458,3571392,3577655,3584090,3593604
0400000US35,35,New Mexico,902142,904655,906844,909285,912067,914952
0400000US36,36,New York,8113799,8134677,8154093,8171949,8190850,8206739
0400000US37,37,North Carolina,4332888,4354390,4375389,4412255,4452115,4490948
0400000US38,38,North Dakota,318217,322024,329700,340208,350518,362960
0400000US39,39,Ohio,5128064,5129872,5132255,5137901,5146855,5156307
0400000US40,40,Oklahoma,1666092,1671755,1678207,1687985,1699384,1711453
0400000US41,41,Oregon,1676462,1679389,1682931,1691313,1704065,1718409
0400000US42,42,Pennsylvania,5568632,5574650,5576479,5581962,5590538,5602813
0400000US44,44,Rhode Island,463374,463281,462970,462689,462619,462578
0400000US45,45,South Carolina,2139992,2147256,2156418,2169134,2188029,2210082
0400000US46,46,South Dakota,364128,366165,368257,371618,376305,380331
0400000US47,47,Tennessee,2814764,2825610,2835363,2850294,2869222,2892305
0400000US48,48,Texas,9995386,10069953,10157090,10283801,10425440,10587752
0400000US49,49,Utah,981724,989088,997280,1008597,1022454,1038003
0400000US50,50,Vermont,322789,323574,324355,325198,326008,326894
0400000US51,51,Virginia,3368696,3382965,3399784,3420702,3446350,3468829
0400000US53,53,Washington,2888185,2901779,2915720,2937511,2964229,2991484
0400000US54,54,West Virginia,882106,882612,882947,883828,884584,885475
0400000US55,55,Wisconsin,2625502,2630192,2634122,2640203,2648265,2657231
0400000US56,56,Wyoming,262247,263761,265174,266587,268216,269448
